No.,Character,Study Word,Furigana,Translation,Grade Level,JLPT,FR
808,寺,寺,てら,temple,G2,N2,1
809,次,次,つぎ,next,G3,N3,1
810,耳,耳,みみ,ear,G1,N3,1
811,自,自分,じぶん,oneself,G2,N4,1
814,事,事,こと,thing,G3,N4,1
817,持,持つ,もつ,hold,G3,N4,1
818,時,時,とき,time,G2,N5,1
826,式,結婚式,けっこんしき,wedding (ceremony),G3,N3,1
829,七,七/七つ,しち/なな/ななつ,seven,G1,N5,1
832,室,室,しつ,room,G2,N4,1
838,質,質問,しつもん,question,G5,N4,1
839,実,実つ	,じつ,Actually...,G3,N3,1
841,写,写真,しゃしん,Photo,G3,N4,1
842,社,会社,かいしゃ,company,G2,N4,1
843,車,車,くるま,car,G1,N5,1
845,者,者（医者）,しゃ（いしゃ）,person (doctor),G3,N4,1
860,若,若,わかい,young,G6,N3,1
861,弱,弱,よわい,weak,G2,N2,1
863,手,手,て,hand,G1,N4,1
864,主,主人,しゅじん,head of household/landlord,G3,N4,1
867,取,取る,とる,take,G3,N3,1
869,首,首,くび,neck,G2,N3,1
872,酒,酒,さけ,alchohal,G3,N3,1
877,受,受ける,うける,to recieve,G3,N3,1
886,舟,舟,ふね,boat,S,N2,1
891,秋,秋,あき,fall ,G2,N4,1
892,臭,臭い,くさい,smelly,S,N1,1
895,終,終わる,おわる,to finish,G3,N4,1
897,習,練習,れんしゅう,practice,G3,N4,1
898,週,週　（週末）,しゅう　（しゅうまつ）,week (weekend),G2,N4,1
901,集,集まる,あつまる,gather,G3,N4,1
907,十,十,じゅう・とお,ten,G1,N5,1
910,住,すむ,すむ,to live,G3,N4,1
912,重,重い,おもい,heavy,G3,N4,1
920,宿,宿題,しゅくだい,homework,G3,N3,1
926,出,でる,でる,to go out,G1,N5,1
930,春,春,はる,spring,G2,N4,1
944,初,初めまして,はじめまして,first time,G4,N3,1
945,所,所,ところ,place,G3,N3,1
946,書,書く,かく,write,G2,N5,1
948,暑,暑い,あつい,hot (weather),G3,N1,1
950,緒,一緒に,いっしょに,together,S,N3,1
952,女,女,おんな,woman,G1,N5,1
959,小,小,ちいさい,small,G1,N5,1
961,少,少し,すこし,a little,G2,N4,1
976,消,消える/消えす,きえる/きえす,to extinguish or turn off (light),G3,N3,1
980,笑,笑う,わらう,laugh,G4,N3,1
990,焼,焼,やき,to grill,G4,N2,1
1009,上,上,うえ,above,G1,N5,1
1010,丈,大丈夫,だいじょうぶ,okay,S,N1,1
1011,冗,冗談,じょうだん,joke,S,N1,1
1014,乗,乗る,のる,to ride,G3,N3,1
1015,城,城 (大坂城),しろ（おおさかじょう）,castle (Osaka castle),G6,N2,1
1020,場,場所,ばしょ,place,G2,N4,1
1029,色,色,いろ,color,G2,N4,1
1031,食,食べる,たべる,to eat,G2,N5,1
1041,心,心,こころ,heart,G2,N4,1
1046,身,自身,じしん,ones self,G3,N1,1
1047,辛,辛,からい,spicy,S,N2,1
1049,信,信じる,しんじる,believe,G4,N3,1
1056,真,写真/真ん中,しゃしん/まんなか,picture/center,G3,N4,1
1058,深,深い,ふかい,deep,G3,N3,1
1061,森,森,もり,forest,G1,N2,1
1065,新,新しい,あたらし,new,G2,N4,1
1069,親,親,おや,parents,G2,N4,1
1070,人,人,ひと,person,G1,N5,1
1080,図,地図,ちず,map,G2,N4,1
1081,水,水/水曜日,みず/すいようび,water/wednesday,G1,N5,1
1097,数,数字,すうじ,number,G2,N3,1
1105,世,世界,せかい,world,G3,N4,1
1106,正,正しい,ただしい,correct,G1,N4,1
1107,生,生きる/人生,いきる/じんせい,to live/life (human),G1,N5,1
1109,西,西,にし,west,G2,N5,1
1110,声,声,こえ,voice,G2,N3,1
1114,性,女性/男性,じょせい/だんせい,female/male,G5,N3,1
1115,青,青い,あおい,blue,G1,N4,1
1118,星,星,ほし,star,G2,N2,1
1133,静,静か,しずか,quiet,G4,N3,1
1138,夕,夕方,ゆうがた,evening,G1,N4,1
1140,石,石,いし,rock,G1,N3,1
1141,赤,赤い,あかい,red,G1,N4,1
1142,昔,昔,むかし,way in the past (A long time ago),G3,N3,1
1144,席,席,せき,seat,G4,N3,1
1154,切,切る,きる,cut,G2,N4,1
1160,雪,雪,ゆき,snow,G2,N3,1
1163,説,説明,せつめい,explain,G4,N3,1
1166,千,千,せん,one thousand,G1,N5,1
1167,川,川,かわ,river,G1,N5,1
1170,先,先生,せんせい,teacher,G1,N5,1
1174,浅,浅,あさい,shallow,G4,N2,1
1175,洗,洗濯,せんたく,laundry,G6,N3,1
