No.,Character,Study Word,Furigana,Translation,Grade Level,JLPT,FR
486,景,景色,けしき,"scenery, scene, landscape",G4,N3,3
488,傾,傾く,かたむく,"lean towards, tilt",S,N2,3
499,迎,迎える,むかえる,to pick someone up (like at the airport),S,N3,3
515,件,事件,じょうけん,condition,G5,N3,3
533,献,献血,けんけつ,blood donation,S,N1,3
534,絹,絹らわしい,まぎらわしい,ambiguous,G6,N1,3
535,遣,気遣う,きずかう,"worry about, consider",S,N1,3
538,賢,賢い,かしこい,clever,S,N2,3
541,繭,繭,まゆ,cocoon,S,N1,3
550,限,に限らない/限る,にかぎらない/かぎる,not necessarily the case/to limit,G5,N3,3
554,減,減る,へる,decrease,G5,N2,3
565,弧,弧/琉球弧,こ/りゅうきゅうこ,arc/Ryukyu-arc,S,N1,3
568,個,一個,いっこ,one small thing,G5,N2,3
571,雇,雇用,こよう,employment,S,N2,3
591,孔,孔雀,くじゃく,peacock,S,N1,3
592,功,成功,せいこう,success!,G4,N1,3
595,甲,甲,こう,turtle shell,S,N1,3
608,更,更に,さら  に ,in addition,S,N3,3
616,洪,洪水,こうずい,flood,S,N1,3
619,荒,荒い,あらい,wild,S,N2,3
634,慌,慌てる,あわてる,"panic, be flustered, confused",S,N1,3
637,絞,絞る,しぼる,squeeze,S,N1,3
642,綱,綱引き,つなひき,tug of war,S,N1,3
647,鋼,鋼,はがね,Steel,G6,N1,3
672,昆,昆虫,こんちゅう,Insect (scientific),S,N1,3
685,査,調査,ちょうさ,investigation,G5,N2,3
690,鎖,鎖,くさり,chain,S,N1,3
698,砕,砕く,くだく,"crush, smash",S,N1,3
715,際,実際,じっさい,In fact... In practice,G5,N3,3
721,罪,犯罪,はんざい,crime,G5,N3,3
722,崎,宮崎県,みやざきけん,Miyazaki Prefecture,S,N1,3
729,酢,酢,す,vinegar,S,N1,3
733,冊,ｘｘｘ冊,ｘｘｘさつ,counter for books,G6,N2,3
734,札,札,さつ, bill (dollar bill),G4,N2,3
737,拶,挨拶,あいさつ,greetings,S,N1,3
740,撮,撮影,さつえい,movie/photo shoot,S,N1,3
748,蚕,蚕,かいこ,silkworm,G6,N1,3
775,志,志す,こころざす,aspire to,G5,N1,3
784,姿,姿,すがた,a figure (like a shadowy figure),G6,N1,3
788,師,医師,いし,physician,G5,N3,3
794,詞,歌詞 /名詞/動詞,かし/めいし/どうし,lyrics/nouns/ verbs,G6,N2,3
798,詩,詩,し・うた,poem,G3,N1,3
800,飼,飼う,かう,"keep (a pet), raise, rear",G5,N1,3
806,示,指示,しじ,instructions,G5,N3,3
827,識,意識,いしき,aware/conscious of,G5,N3,3
882,樹,樹皮,じゅひ,tree bark,G6,N1,3
890,拾,拾う,ひろう,pick up/find,G3,N2,3
905,蹴,蹴る,ける,kick,S,N1,3
906,襲,襲う,おそう,to be attacked ,S,N1,3
909,充,充電,じゅうでん,charge a battery (and phone),S,N1,3
915,銃,銃,じゅう,gun,S,N1,3
919,祝,祝う,いわう,celebrate,G4,N2,3
939,順,順番,じゅんばん,order (in a line - like performances in a show),G4,N2,3
964,床,床,ゆか,floor,S,N2,3
971,松,松,まつ,pine tree,G4,N1,3
972,沼,沼/沼地,"ぬま/ぬまち
",swamp,S,N1,3
977,症,花粉症,かふんしょう,hay fever,S,N1,3
982,商,商品,しょうひん,"goods, merchandise",G3,N3,3
991,焦,焦げる,こげる,"be burned, charred",S,N1,3
993,粧,化粧,けしょう,makeup,S,N1,3
995,証,証明,しょうめい,prove,G5,N1,3
997,傷,傷つける,きずつける,"wound, damage, harm",G6,N1,3
999,照,照る,てる,shine,G4,N2,3
1007,礁,礁湖,しょうこ,reef,S,N1,3
1008,鐘,鐘,かね,hanging bell (like liberty bell or in grandfather clocks),S,N1,3
1019,情,感情,かんじょう,a feeling/emotion,G5,N3,3
1032,植,植える,うえる,to plant a plant,G3,N2,3
1034,飾,飾る,かざる,"decorate, display",S,N1,3
1037,織,組織,そしき,organization,G5,N1,3
1038,職,職場,しょくば,place of work,G5,N3,3
1039,辱,辱める,はずかしめる,to embarass someone else,S,N1,3
1057,針,針,はり,a needle,G6,N2,3
1078,腎,腎臓,じんぞう,kidney,S,N1,3
1084,炊,炊飯器,すいはんき,rice cooker,S,N1,3
1088,推,推測,すいそく,to guess,G6,N1,3
1089,酔,酔っ払い,よっぱらい,drunk,S,N1,3
1116,斉,一斉に,いっせいに,"together, in unison",S,N1,3
1120,省,省 (Ex.文部科学省),しょう (もんぶかがくしょう）,Ministry of xx (Ministry of Education),G4,N2,3
1130,精,精一杯,せいいっぱい,with all ones might,G5,N3,3
1132,誓,誓って,ちかって,"""upon my word""",S,N1,3
1143,析,解析,かいせき,analysis,S,N1,3
1145,脊,脊椎,せきずい,spine,S,N1,3
1147,惜,惜しい,おしい,close!,S,N1,3
1151,積,積もる,つもる,"pile up, accumulate",G4,N3,3
1158,接,面接,めんせつ,job interview,G5,N2,3
1164,舌,舌,した,tounge,G5,N1,3
1176,染,馴染む,なじむ,adapt to,G6,N1,3
1195,鮮,鮮明,せんめい,vivid,S,N1,3
1204,狙,狙う,ねらう,to aim at/aim for,S,N1,3
1206,祖,祖先,そせん,ancestor,G5,N3,3
1218,壮,壮大 な,そうだい な,epic,S,N1,3
1230,桑,桑原,くわばら,mulberry field,S,N1,3
1234,曽,曾祖父母,そうそふぼ,great grandparents,S,N1,3
1235,爽,爽やか,さわやか,refreshing,S,N1,3
1237,創,創造的,そうぞうてき,creative,G6,N1,3
1239,痩,痩る,やせる,to lose weight,S,N1,3
1240,葬,葬式,そうしき,funeral,S,N1,3
1251,霜,霜,しも,frost,S,N1,3
1255,像,映像,えいぞう,image,G5,N2,3
1259,贈,贈り物,おくりもの,present,S,N2,3
1270,測,推測,すいそく,to guess,G5,N2,3
1271,俗,民俗,みんぞく,folk,S,N1,3
1274,賊,海賊,かいぞく,a pirate,S,N1,3
1277,率,比率,ひりつ,ratio,G5,N1,3
1278,存,ご存じ,ごぞんじ,“do you know?” (honorific),G6,N3,3
1280,孫,孫,まご,grandchild,G4,N2,3
1281,尊,尊敬 (語),そんけい (ご),respect (formal language),G6,N2,3
1298,怠,怠ける,なまける,be lazy,S,N1,3
1300,退,退屈,たいくつ,boring,G5,N3,3
1308,隊,軍隊,ぐんたい,army,G4,N1,3
1311,戴,頂戴,ちょうだい,"to recieve, be given (humble)",S,N1,3
1317,滝,滝,たき,waterfall,S,N1,3
1321,卓,電卓,でんたく,calculator,S,N1,3
1335,担,担ぐ,かつぐ,carry on one’s shoulders,G6,N2,3
1338,胆,大胆,だいたん,daring/bold,S,N1,3
1340,淡,淡い,あわい,faint color (sickly),S,N1,3
1350,断,断わる,ことわる,"refuse, decline",G5,N3,3
1351,弾,爆弾,ばくだん,bomb,S,N1,3
1364,置,置く,おく,to put something down (on the table),G4,N3,3
1369,蓄,蓄える,たくわえる,"save/accumulate money, put aside, store",S,N1,3
1391,貯,貯金,ちょきん,savings (money),G4,N2,3
1398,挑,挑戦,ちょせん,try,S,N1,3
1399,帳,手帳,てちょう,notebook (planner),G3,N1,3
1402,眺,眺める,ながめる,"watch, view (stars)",S,N1,3
1403,釣,釣る,つる,caught fish,S,N1,3
1410,跳,縄跳び,なわとび,jump rope,S,N1,3
1411,徴,特徴,とくちょう,characteristic ,S,N1,3
1413,潮,潮,しお,tide,G6,N1,3
1415,調,調査,ちょうさ,investigation,G3,N3,3
1421,沈,沈む,しずむ,sink,S,N2,3
1425,賃,家賃,やちん,rent,G6,N1,3
1427,追,追う,おう,"chase, drive away",G3,N3,3
1435,爪,爪,つめ,"claw, nail, talon",S,N1,3
1436,鶴,鶴,つる,crane,S,N1,3
1442,底,底,そこ,there,G4,N2,3
1444,邸,大邸宅,ていたく,mansion,S,N1,3
1445,亭,ｘｘｘ亭,ｘｘｘてい,XXX's restuarant,S,N1,3
1448,訂,訂正,ていせい,correct or revise,S,N1,3
1464,適,適当,てきとう,appropriate,G5,N3,3
1473,典,古典的,こてんてき,classical ,G4,N1,3
1476,展,展覧会,てんらんかい,exhibition (art),G6,N1,3
1485,吐,吐き気,はきけ,nausea,S,N1,3
1490,渡,渡す,わたす,hand over,S,N3,3
1491,塗,塗る,ぬる,paint (walls/houses),S,N2,3
1502,投,"投票/投げる
",とうひょう・なげる,"vote/throw
",G3,N3,3
1505,到,到着,とうちゃく,train arrives,S,N3,3
1506,逃,逃げる,にげる,run away,S,N3,3
1508,凍,凍る,こおる,freeze,S,N2,3
1513,透,透明,とうめい,transparent,S,N1,3
1514,党,自民党,じみんとう,LDP,G6,N2,3
1516,盗,盗む,ぬすむ,steal,S,N3,3
1517,陶,陶器,とうき,pottery,S,N1,3
1525,等,等々,などなど,etc,G3,N3,3
1529,踏,踏む,ふむ,step on,S,N1,3
1534,闘,闘う,たたかう,"fight against, struggle against",S,N1,3
1544,銅,銅,どう,bronze,G5,N2,3
1554,毒,毒,どく,poison,G4,N2,3
1560,届,届く,とどく,to reach,G6,N2,3
1568,那,旦那,だんな,husband (informal)​,S,N1,3
1571,梨,梨 (山梨県),なし(やまなしけん）,pear (Yamanashi Prefecture),S,N1,3
1590,認,認める,みとめる,recognize,G6,N3,3
1595,捻,捻る,ひねる,"bend, twist",S,N1,3
1596,粘,粘る,ねばる,to be sticky,S,N1,3
1602,農,農家,のうか,farmer,G3,N2,3
1606,派,立派/派手,りっぱ/はで,high class/guady,G6,N1,3
1608,覇,覇権,はけん,hegemony,S,N1,3
1615,肺,肺,はい,lung,G6,N1,3
1619,敗,失敗,しっぱい,failure,G4,N3,3
1634,迫,迫る,せまる,"to approach, to draw near, to be imminent",S,N1,3
1635,剝,剥く,むく,"to peel, to skin",S,N1,3
1637,博,博物館,はくぶつかん,a museum that is not focused on the arts,G4,N1,3
1640,漠,砂漠,さばく,a desert,S,N1,3
1642,爆,爆弾,ばくだん,bomb,S,N2,3
1645,畑,畑,はたけ,field,G3,N1,3
1648,鉢,鉢巻,はちまき,stylized Japanese headband,S,N1,3
1658,犯,犯人,はんにん,criminal,G5,N3,3
1669,般,一般的,いっぱんてき,ordinary/average/unimportant,S,N2,3
1670,販,自動販売機,じどうはんばいき,vending machine,S,N2,3
1677,繁,頻繁に,ひんぱんに,frequently,S,N1,3
1684,皮,皮,かわ,skin (fruit skin),G3,N2,3
1686,否,否定する,ひていする,to deny (formal),G6,N3,3
1698,扉,扉,とびら,large double doors,S,N1,3
1702,避,避ける,さける,"avoid, dodge",S,N1,3
1707,微,微妙,びみょう,mehhh,S,N1,3
1710,肘,肘,ひじ,elbow,S,N1,3
1712,必,必ず,かならず,"always, certainly",G4,N3,3
1755,敷,敷く,しく,"spread out, lay (something)",S,N1,3
1765,伏,伏せる,ふせる,lay face down,S,N1,3
1769,復,復習,ふくしゅう,review,G5,N2,3
1775,沸,お湯が沸く,わく,to boil water,S,N2,3
1780,雰,雰囲気,ふんいき,atmosphere,S,N1,3
1782,墳,古墳,こふん,ancient burial ground,S,N1,3
1803,璧,完璧,かんぺき,perfect,S,N1,3
1827,暮,暮らす,くらす,live (lifestyle),G6,N3,3
1830,包,包む,つつむ,to wrap,G4,N2,3
1836,放,放送/日本放送 協会,ほうそう/にほんほうそうきょうかい,broadcasting/NHK,G3,N3,3
1838,泡,泡,あわ,bubble,S,N1,3
1844,崩,崩れる,くずれる,"collapse, cave in",S,N1,3
1860,肪,脂肪,しぼう,grease or fat,S,N1,3
1862,冒,冒険,ぼうけん,adventure,S,N1,3
1865,望,希望,きぼう,request,G4,N3,3
1874,頰,頬,ほお,cheeks,S,N1,3
1881,墨,墨絵,すみえ,sumi-e ink painting,S,N1,3
1888,翻,翻訳,ほんやく,translation,S,N1,3
1902,枕,枕,まくら,pillow,S,N1,3
1908,慢,我慢する,がまんする,to persevere,S,N1,3
1912,魅,魅力,みりょく,alluring (person),S,N1,3
1913,岬,岬,みさき,cape (on coast),S,N1,3
1917,妙,微妙,びみょう,meh,S,N1,3
1924,霧,霧,きり,fog,S,N1,3
1933,鳴,鳴く,なく,animal cry,G2,N3,3
1934,滅,滅ぼす,ほろぼす,"destroy, ruin",S,N1,3
1938,麺,麺,めん,noodles,S,N1,3
1939,茂,茂る,しげる,to grow thickly (like plants),S,N1,3
1946,網,網,あみ,net/web,S,N1,3
1955,弥,弥生時代,やよいじだい,Yayoi Period,S,N1,3
1957,役,役に立つ,やくにたつ,to work like it's supposed to,G3,N3,3
1974,幽,幽霊,ゆうれい,ghost (vengeful like a horror movie),S,N1,3
1982,誘,誘そう,さそう,to invite (someone over),S,N1,3
1983,憂,憂い,うれい,grief/sorrow,S,N1,3
1986,与,給与,きゅうよ,wages,S,N3,3
1994,妖,妖怪,ようかい,ghost (can be nice),S,N1,3
1997,容,内容,ないよう,contents,G5,N3,3
2003,溶,溶ける,とける,"melt, dissolve, come untied",S,N2,3
2004,腰,腰,こし,lower back,S,N2,3
2013,抑,抑える,おさえる,"restrain, control (emotions etc)",S,N1,3
2024,頼,頼む,たのむ,to ask a favor,S,N3,3
2025,絡,連絡,れんらく,to inform,S,N2,3
2043,離,離婚,りこん,divorce,S,N1,3
2044,陸,離陸,りりく,take off (plane),G4,N2,3
2052,竜,恐竜,きょうりゅう,dinosaur,S,N1,3
2060,了,完了,かんりょう,to finish (working on something),S,N2,3
2068,僚,同僚,どうりょう,coworker,S,N1,3
2090,励,励ます,はげます,encourage,S,N1,3
2095,霊,幽霊,ゆうれい,vengeful ghost,S,N1,3
2099,暦,歴年,れきねん,calendar year,S,N1,3
2101,列,列,れつ,a line of people,G3,N3,3
2106,連,連絡,れんらく,to inform,G4,N3,3
2118,郎,桃太郎,ももたろ,Momotaro (popular Japanese folklore hero),S,N1,3
2121,廊,廊下,ろうか,corridor,S,N1,3
2123,漏,漏らす,もらす,"leak, disclose",S,N1,3
2126,録,登録,とうろく,"to enter data, or to register for something/subscribe",G4,N2,3
2127,麓,麓,ふもと,foot (of a mountain or hill),S,N1,3
2128,論,論文,ろんぶん,thesis paper,G6,N3,3
2132,脇,脇の下,わき,armpit,S,N1,3
2,哀,哀れ,あわれ,poor/pitiful,S,N1,4
8,圧,圧倒,あっとう,to overwhelm/overpower (an opponent),G5,N2,4
9,扱,扱う,あつかう,"to treat, deal with, handle",S,N1,4
20,依,依存,いぞん,to depend on,S,N2,4
21,委,委員,いいん,member of a committee,G3,N2,4
28,移,移る,うつる,to transfer,G5,N2,4
30,偉,偉い,えらい,great/prestigious/distinguished,S,N3,4
35,維,維持,いじ,to maintain or sustain something,S,N1,4
37,遺,遺産,いさん,inheritance,G6,N1,4
39,域,地域,ちいき,"district, zone, region",G6,N2,4
43,逸,逸話,いつわ,an anecdote,S,N1,4
48,因,原因,げんいん,cause,G5,N3,4
73,営,営業中,えいぎょうちゅう,open for business ,G5,N2,4
80,益,利益,りえき,profits,G5,N1,4
81,液,液体,えきたい,liquid,G5,N2,4
88,延,延長,えんちょう,to extend or prolong time,G6,N2,4
89,沿,沿い/に沿って,ぞい/にそって,along,G6,N1,4
102,縁,縁,ふち,edge,S,N1,4
109,往,往復,おうふく,round trip,G5,N1,4
117,横,横,よこ,beside,G3,N3,4
128,恩,恩知らず,おんしらず,ungrateful,G5,N1,4
140,価,価,あたい,value,G5,N1,4
154,嫁,嫁,よめ,bride,S,N1,4
170,雅,優雅,ゆうが,"elegant, graceful, refined",S,N1,4
176,快,快い,こころよい,pleasant/comfortable,G5,N2,4
178,改,改革,かいかく,reform,G4,N2,4
180,拐,誘拐,ゆうかい,kidnapping /abduction,S,N1,4
199,害,被害/被害者,ひがい/ひがいしゃ,casualties/victim,G4,N3,4
201,涯,生涯,しょうがい,lifetime,S,N1,4
203,慨,憤慨,ふんがい,resentment,S,N1,4
205,該,該当,がいとう,correspond to,S,N1,4
206,概,一概に,いちがいに,generalize,S,N1,4
210,各,各ｘｘｘ,かくｘｘｘ,each xxx,G4,N2,4
212,拡,拡張,かくちょう,"enlarge, expand, extend",G6,N1,4
215,核,核兵器,かくへいき,nuclear weapons,S,N1,4
216,殻,貝殻,かいがら,seashell,S,N1,4
219,較,比較的,ひかくてき,comparatively,S,N1,4
220,隔,隔てる,へだてる,"to partition, to separate",S,N1,4
223,獲,獲物,えもの,prey,S,N1,4
227,岳,山岳,さんがく,mountains,S,N1,4
229,額,半額,はんがく,half-price,G5,N2,4
243,株,株/株式,かぶ/かぶしき,stocks,G6,N1,4
248,刊,刊行,かんこう,publication,G5,N2,4
251,缶,缶きり,かんきり,can opener,S,N2,4
254,官,官僚,かんりょう,bureaucrat,G4,N3,4
258,陥,欠陥,けっかん,defect,S,N1,4
260,勘,勘が ある,かん が ある,"""I have a hunch""",S,N1,4
261,患,患者,かんじゃ,a medical patient,S,N2,4
262,貫,一貫性,いっかんせい,consistency,S,N1,4
264,喚,喚問,かんもん,summons (to be summoned to court),S,N1,4
265,堪,堪らない,たまらない,"intolerable/unbearable
",S,N1,4
268,棺,棺,ひつぎ/かん,"coffin, casket",S,N1,4
273,寛,寛大,かんだい,lenient,S,N1,4
278,管,管理,かんり,management,G4,N2,4
281,監,監督,かんとく,director,S,N1,4
282,緩,緩む,ゆるむ,to become loose,S,N1,4
283,憾,遺憾,いかん,"regrettable,  deplorable",S,N1,4
293,含,含む,ふくむ,to include,S,N2,4
318,飢,飢える,うえる,starving (like when people die),S,N1,4
322,寄,寄る,よる,to come near/get close,G5,N3,4
323,規,規則,きそく,rule/regulation,G5,N3,4
327,揮,発揮,はっき,"to show (ones power, ability etc)",G6,N1,4
330,貴,貴重,きちょう,"precious, valuable",G6,N1,4
331,棄,放棄,ほうき,"to abandon, to renounce, to discard",S,N1,4
333,旗,旗,はた,flag,G4,N1,4
342,欺,詐欺,さぎ,"fraud, scam",S,N1,4
343,義,主義 (資本主義),しゅぎ (しほんしゅぎ),-ism (capitalism),G5,N1,4
344,疑,疑問,ぎもん,a doubt,G6,N3,4
345,儀,礼儀,れいぎ,"manners, etiquette",S,N1,4
348,犠,犠牲者,ぎせいしゃ,victim,S,N1,4
354,却,却下,きゃっか,"dismiss, reject",S,N1,4
362,弓,弓,ゆみ,bow/archery bow,G2,N1,4
373,級,同級生/級友  ,どうきゅうせい/きゅうゆう,classmate,G3,N1,4
380,窮,窮屈,きゅうくつ,"cramped, stiff",S,N1,4
385,拒,拒む,こばむ,to refuse; to reject; to decline,S,N1,4
388,虚,謙虚,けんきょ,"modest, humble",S,N1,4
390,距,距離,きょり,physical distance between two things,S,N1,4
394,凶,凶悪,きょうあく,"heinous, atrocious",S,N1,4
402,況,状況,じょうきょう,"context, condition ",S,N2,4
409,脅,脅す,おどす,to threaten,S,N1,4
413,境,環境,かんきょう,environment (both natural & circumstantial),G5,N2,4
426,極,極端/極める,きょくたん/きわめる,extreme/extremely ,G4,N2,4
430,均,平均,へいきん,average/mean,G5,N2,4
448,駆,駆ける,かける,to gallop,S,N1,4
451,愚,愚か,おろか,foolish,S,N1,4
455,隅,隅,すみ,corner of a room,S,N2,4
468,群,群れ (群馬県),むれ (ぐんまけん）,a flock/herd/swarm etc (Gunma Prefecture),G5,N2,4
473,径,直径,ちょっけい,diameter,G4,N1,4
475,係,関係,かんけい,related to,G3,N3,4
490,継,受け継ぐ,うけつぐ,to inherit,S,N1,4
503,撃,撃つ,うつ,to shoot (a weapon),S,N1,4
504,激,激しい,はげしい,"severe, violent, intense",G6,N1,4
512,潔,潔い,いさぎよい,honorable,G5,N1,4
517,券,券 (ex. 食券)  ,けん (ex. しょっけん) ,ticket (ex. meal ticket),G5,N2,4
522,倹,倹約,けんやく,frugal,S,N1,4
523,兼,兼業,けんぎょう,having a second or parttime job,S,N1,4
526,軒,ｘｘｘ軒,ｘｘｘけん,counter for shops or houses,S,N2,4
529,圏,圏内/圏外,"けんない/けんがい

",within range/outside of range,S,N1,4
531,検,検査,けんさ,a medical checkup,G5,N1,4
536,権,人権,じんけん,human rights,G6,N3,4
539,謙,謙虚,けんきょ,"modest, humble",S,N1,4
546,幻,幻覚,げんかく,hallucination,S,N1,4
555,源,源,みなもと,source (of a river)/spring,G6,N1,4
562,股,股/股間,また/こかん,crotch,S,N1,4
564,孤,孤児,こじ/みなしご,orphan,S,N1,4
567,枯,枯れる,かれる,to wither,S,N2,4
572,誇,誇り,ほこり,pride,S,N1,4
575,顧,顧みる,かえりみる,to look back on (the past),S,N1,4
581,娯,娯楽,ごらく,entertainment,S,N1,4
582,悟,悟る,さとる,to attain enlightenment,S,N1,4
585,誤,誤解,ごかい,a misunderstanding,G6,N3,4
593,巧,巧み,たくみ,skillful,S,N1,4
605,孝,親孝行,おやこうこう,filial piety,G6,N1,4
606,抗,抗議,こうぎ,protest,S,N1,4
609,効,効果的,こうかてき,effective,G5,N2,4
611,拘,拘留,こうりゅう,to be taken into custody,S,N1,4
612,肯,肯定,こうてい,to affirm,S,N2,4
618,紅,口紅,くちべに,lipstick,G6,N2,4
620,郊,郊外,こうがい,a suburb,S,N2,4
622,候,候補,こほう,candidate,G4,N3,4
625,航,航空,こうくう,aviation,G4,N2,4
630,控,控える,ひかえる,to have restraint,S,N1,4
638,項,項目,こうもく,clause,S,N1,4
639,溝,溝,みぞ,"ditch, gutter, drain",S,N1,4
648,講,講義,こうぎ,college lecture,G5,N2,4
649,購,購読,こうどく,to do a literary subscription,S,N1,4
653,拷,拷問,ごうもん,torture ,S,N1,4
656,豪,豪華,ごうか,luxurious,S,N1,4
657,克,克服,こくふく,to conquer/control/subjugate,S,N1,4
658,告,告白,こくはく,to confess,G4,N3,4
660,刻,刻む,きざむ,to carve up,G6,N3,4
695,災,災害,さいがい,natural disaster,G5,N1,4
699,宰,主宰,しゅさい,to preside over,S,N1,4
701,彩,彩る,いろどる,to color,S,N1,4
702,採,採点,さいてん,to mark papers or an exam,G5,N2,4
703,済,経済,けいざい,economy,G6,N3,4
709,裁,裁判,さいばん,a trial/lawsuit,G6,N1,4
711,催,催す,もよおす,to hold (an event),S,N1,4
714,載,掲載,けいさい,"to publish (an article), report",S,N1,4
717,在,現在,げんざい,present ,G5,N3,4
718,材,材料,ざいりょう,"ingredients, material",G4,N2,4
719,剤,ｘｘｘ剤 (解熱剤),ｘｘｘざい (げねつざい),xxx drug/medicine (anti-fever medicine),S,N1,4
724,削,削除,さくじょ,to delete,S,N1,4
727,索,索引,さくいん,index (in a book),S,N1,4
735,刷,印刷,いんさつ,printing ,G4,N2,4
741,擦,摩擦,まさつ,friction,S,N1,4
749,惨,惨め,みじめ ,pathetic (unsympathetically),S,N1,4
753,算,計算,さいさん,to calculate,G2,N2,4
755,賛,賛成,さんせい,to agree with/support a statement,G5,N3,4
766,司,司会者,しかいしゃ,"chairman, MC, host",G4,N1,4
769,矢,弓矢,ゆみや,bow and arrow,G2,N1,4
773,至,至る,いたる,to arrive at (a decision),G6,N1,4
774,伺,伺う,うかがう,a formal visit,S,N2,4
782,祉,福祉,ふくし,social welfare programs,S,N1,4
787,施,施設,しせつ,institution; establishment; facility,S,N1,4
792,視,無視,むし,to ignore,G6,N1,4
799,資,資料,しりょう,primary sources,G5,N3,4
802,雌,雌,めす,"female (animal, plant etc)",S,N1,4
813,児,児童 (ex 児童文学),じどう(じどうぶんが）,formal word for children (Ex. children's literature),G4,N2,4
822,磁,磁石,じしゃく,a magnet,G6,N1,4
834,執,圧倒,あっとう,to be overwhelmed,S,N1,4
835,湿,加湿器,かしつき,humidifier,S,N2,4
840,芝,芝生,しばふ,lawn,S,N1,4
849,斜,斜め,ななめ,"slanting, tilted, diagonal",S,N1,4
850,煮,煮る,にる,to simmer,S,N1,4
866,朱,朱色,しゅいろ,vermilion,S,N1,4
868,狩,狩る,かる,to hunt,S,N1,4
873,腫,腫れる,はれる,to swell (from inflammation),S,N1,4
878,呪,呪い,のろい,curse,S,N1,4
880,需,必需品,ひつじゅひん,necessities,S,N1,4
881,儒,儒教,じゅきょう,Confucianism,S,N1,4
883,収,収入,しゅうにゅう,income,G6,N3,4
884,囚,囚人,しゅうじん,prisoner,S,N1,4
887,秀,優秀,ゆうしゅう,excellence,S,N1,4
889,宗,宗教,しゅうきょう,religion,G6,N1,4
900,衆,大衆,たいしゅう,general public (in a political sense),G6,N1,4
902,愁,哀愁,あいしゅう,"sorrow, grief",S,N1,4
913,従,従う,したがう,"to obey (an order, law, etc.)",G6,N1,4
917,縦,縦,たて,vertical,G6,N1,4
923,縮,縮まる/収縮,ちぢまる/しゅうしゅく,to contract ,G6,N1,4
927,述,述べる,のべる,to state/express,G5,N2,4
931,瞬,瞬間,しゅんかん,"moment, second, instant",S,N1,4
932,旬,上旬/下旬/中旬,じょうじゅん/げじゅん/ちゅうじゅん,beginning/end/middle of the month,S,N1,4
933,巡,巡礼,じゅんれい,pilgrimage,S,N1,4
934,盾,矛盾,むじゅん,contradiction,S,N1,4
937,純,純粋,じゅんすい,essence ,G6,N2,4
938,循,循環,じゅんかん,circulation ,S,N1,4
941,潤,潤い,うるおい,moisture,S,N1,4
943,処,処理,しょり,to manage/take care of a problem,G6,N3,4
947,庶,庶民,しょみん,commoner,S,N1,4
951,諸,諸ｘｘｘ,しょｘｘｘ,various xxx,G6,N2,4
955,序,序文,じょぶん,preface,G5,N1,4
963,匠,師匠,ししょう,teacher who has apprentices,S,N1,4
967,尚,尚更,なおさら,"""all the more""",S,N1,4
969,承,承認,しょうにん,approval,G5,N2,4
970,昇,昇格,しょうかく,promotion,S,N2,4
979,称,対称的,たいしょうてき,symmetrical,S,N1,4
981,唱,唱える,となえる,chant,G4,N1,4
983,渉,干渉,かんしょう,to interfere,S,N1,4
986,訟,訴訟,そしょう,lawsuit,S,N1,4
989,晶,液晶,えきしょう,liquid crystal display,S,N1,4
1000,詳,詳細,しょうさい,details,S,N1,4
1002,障,障害,しょうがい,disability,G6,N1,4
1004,衝,衝突,しょうとつ,"collision, crash",S,N1,4
1005,賞,賞品/賞金,しょうひん/しょうきん,prize/prize money,G4,N2,4
1006,償,賠償,ばいしょう,reparations/ compensation money,S,N1,4
1013,状,状況,じょうきょう,context,G5,N3,4
1017,剰,過剰,かじょう,excessive,S,N1,4
1018,常,常に,つねに,ordinarily/normally or always/constantly,G5,N3,4
1025,嬢,嬢,じょう,miss/a young unmarried woman,S,N1,4
1027,譲,謙譲語,けんじょうご,humble japanese speech,S,N1,4
1030,拭,拭く,ふく,"to wipe, to dry",S,N1,4
1033,殖,生殖,せいしょく,reproduction,S,N1,4
1043,伸,伸ばす,のばす,to stretch,S,N2,4
1044,臣,大臣,だいじん,minister,G4,N2,4
1048,侵,侵入,しんにゅう,invasion,S,N1,4
1053,娠,妊娠,にんしん,pregnant,S,N1,4
1054,振,振り,ふり,to pretend,S,N1,4
1055,浸,浸す,ひたす,to soak,S,N1,4
1059,紳,紳士,しんし,gentleman,S,N1,4
1062,診,診療,しんりょう,diagnosis,S,N1,4
1064,慎,慎重,しんちょう,discreet,S,N1,4
1066,審,陪審,ばいしん,jury,S,N1,4
1071,刃,刃物,はもの,edged bladed weapon/kitchen cutlery,S,N1,4
1073,尽,尽くす,つくす,"to exhaust, use up, run out",S,N1,4
1075,甚,甚大,じんだい,enormous,S,N1,4
1076,陣,陣地,じんち,position/territory/encampment/base (military),S,N1,4
1083,垂,垂らす, たらす,to hang down/dangle,G6,N1,4
1086,粋,純粋,じゅんすい,essence,S,N1,4
1087,衰,衰退,すいたい,decline ,S,N1,4
1090,遂,遂に,つい に ,"finally, at last",S,N1,4
1091,睡,睡眠,すいみん,sleep (medical term),S,N1,4
1119,牲,犠牲,ぎせい,a sacrifice,S,N1,4
1123,清,清い,きよい,pure,G4,N2,4
1127,勢,姿勢,しせい,posture,G5,N2,4
1128,聖,神聖,しんせい,holy/holiness,G6,N1,4
1129,誠,誠実,せいじつ,fidelity,G6,N1,4
1131,製,製造業,せいぞうぎょう,manufacturing,G5,N1,4
